제목,지역,소분류,성별,내용
저소득 식사배달 봉사 ,경기,용인시,공통,"저소득식사 배달 사업 봉사자 모집  월~ 금요일 주 5회 도시락 만들기, 배달, 설거지 봉사자를 모집합니다.- 도시락 만들기 : 오전 9시 30분 ~ 11시 30분- 도시락 배달 : 오전 11시 ~ 12시- 도시락 설거지 : 오전 11시 30분 ~ 오후 1시 30분  ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[운봉장애인주간보호센터] 프로그램 보조 자원봉사자 모집,부산,해운대구,공통,"운봉종합사회복지관 부설 운봉장애인주간보호센터에서 프로그램 보조 해주실 자원봉사자를 모집합니다.우리 센터는 일상생활 및 사회생활을 영위하는데 지원이 필요한 발달장애인에게 낮 시간동안 재활프로그램 및 교육 등의 기회를 제공하고 있습니다.이에 정기적, 비정기적 자원봉사자를 모집하오니 관심있는 분의 많은 참여바랍니다.* 활  동  일 : 평일(공휴일, 센터 휴관일 제외) 09:00-17:00 중 자원봉사자가 활동 가능한 시간* 활동 내용 : 프로그램 보조(색칠공부, 색종이 모자이크, 글씨쓰기, 집단활동, 외부이동시 동행 등)* 혜       택 : 봉사활동 시간 입력, 점심식사 시간 내 활동시 식사제공 등* 기       타 : 우리센터 이용자는 신변처리, 의사소통이 잘 되므로 발달장애인에 대한 거부감 없이 오시면 좋겠습니다.* 문       의 : 봉사활동 신청 후 051-543-3281 로 꼭 전화연락 주시기 바랍니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
정보요원단 모집,대구,중구,공통,"저희 협회에서는 재가장애인 정보화능력향상 및 정보접근성향상을 위해 정보화재택방문교육을 실시하고 있습니다.이에, 정보화재택방문교육을 위한 자원봉사자(정보요원단)를 모집합니다.<정보요원단이란, 재가장애인 가정에 방문하여 1대1 컴퓨터교육을 해주는 자원봉사자를 뜻합니다.> - 기간 : 2019년 01월 ~ (상시모집 및 상시매칭/6개월 이상 활동)- 장소 : 재가장애인 가정(대구 전지역)- 내용 : 한글, 엑셀, 파워포인트 등 컴퓨터 기초활용 및 모바일활용 교육          (자격증 없어도 가능합니다~)- 절차 : 전화문의 -> 기관방문 -> 신청서 작성 및 사업설명 -> 대상자 매칭 -> 교육시작- 신청 : 053-256-1304(전화신청)- 전화로 꼭 문의주세요*^^* ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
이미용 봉사,서울,동대문구,공통,"1. 봉사일자 : 2019-03-27~2019-12-312. 봉사장소 : 동대문구 고산자로 4203. 봉사내용 : 이미용 봉사(여자어르신 : 35명, 남자어르신 : 10명)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
사랑의 밑반찬 전달 봉사자(차량)를 찾습니다.,인천,부평구,공통,"매주 수요일 우리 복지관에서는 장애와 경제적 어려움으로식생활 어려움이 있는 재가장애인 가정에 사랑의 밑반찬을 전달합니다.부평동, 삼산동, 산곡동... 부평구 곳곳에 계시는 분들의 식사를 챙기며,한주간의 안부를 확인합니다.거리가 멀다보니 대부분은 사회복지사가 차량으로 전달하며 안부를 살피는데,많은 분들을 만나야하다보니 여유 있게 대화나누기도 마땅치 않습니다.매주, 혹은 한달에 한두번이라도 몇가정에 밑반찬 갖다주며 안부를 물어주는 이웃이 있으면 좋겠습니다.* 봉사활동문의 : 부평장애인종합복지관 권선미 사회복지사(032-512-9200)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[성민종합사회복지관] 식사배달(도시락) 자원봉사자를 모집합니다.,서울,관악구,공통,"안녕하세요! 저희는 관악구에 위치한 성민종합사회복지관입니다.어르신 가정에 도시락을 배달해드리고, 안부확인을 해주시는 도시락 배달 봉사자와 수거된 도시락을 설거지 해주실 봉사자를 모집하고 있습니다.두 가지 모두 한번에 봉사도 가능합니다. *도시락 배달: 10:00~11:00 가량, 코스에 따라 다를 수 있음*설거지: 13:30~15:00 가량, 단기봉사 가능*두 가지 모두: 10:00~15:00 가량, 중간에 경로식당 봉사 병행, 점심식사 제공 봉사내용에 대해 궁금하신 분은 전화주시기 바랍니다. *02-876-0900 박미솔 사회복지사 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
공릉어르신복지센터이미용자원봉사자모집,서울,노원구,공통,"구립공릉어르신복지센터에서 ‘이미용 서비스’ 에 재능을 나눠주실 마음 따뜻하고 성실한 자원봉사자를 모집합니다.1. 사업명 : 이미용 서비스2. 일시 : 주 1회 시행 월요일, 화요일, 금요일 시간협의가능3. 장소 : 구립공릉어르신복지센터(서울 노원구 공릉로 129) 2층 이미용실4. 봉사대상 : 기초생활수급자 및 고령(80세 이상) 어르신5. 모집인원 : 5명 이상6. 내용 : 이미용 봉사(컷트, 염색, 파마)7. 자격요건 : 이미용 관련 자격증8. 담당자 : 사회복지사 안선규(T. 948-6274)** 점심식사를 제공해드리며 봉사시간은 VMS를 통해 입력해 드립니다. 궁금하신 사항은 언제든지 연락주세요~^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
반찬배달_동구지역_매주화요일,인천,동구,공통,매주 화요일 3~5시사이 복지관에서 반찬을 수령하여 동구지역(3군데) 시각장애인가정에 밑반찬을 배달하는 활동입니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[월곡종합사회복지관]준사례관리단 '늘꿈' 5기,서울,성북구,공통,월곡종합사회복지관에서는 사례관리에 대한 열정을 갖고 사례관리 당사자를 위해 열심히 활동할 준사례관리단을 모집합니다.^^1. 활동명: 준사례관리단 ‘늘꿈’ 5기2. 모집대상: 사회복지현장실습을 이수한 대학생 누구나(정원-12명)3. 활동내용  - 사례관리 관련 기초·심화 교육  - 상담 및 아웃리치  - 사례회의 및 서비스 연계  - 친목도모활동  - 사례발표 및 평가회4. 활동기간: 2019년 2월 ~ 12월5. 활동혜택  - 준사례관리단 활동인증서 수여  - VMS 봉사시간 입력  - 사례관리 워크숍 참석  - 사례관리 실무 경험 및 능력 강화  - 친목도모의 기회6. 신청기간: 2019년 1월 ~ 2월(선착순 마감)7. 신청방법: 마을동행팀 김하나 사회복지사에게 전화 신청(070-4825-3804)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
 경로식당 자원봉사활동,서울,양천구,공통,"경로식당 자원봉사활동 봉사기간 : 정기 자원봉사자만 활동 가능, 주 1회 (날짜 조정 가능)봉사시간 : 09:00~14:00 (시간 조정 가능)봉사내용 : 경로식당 조리, 정리, 도시락 배달 업무보조연락처 : 02-2690-8762※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
도시락 배달 자원봉사자 모집,부산,북구,공통,"금곡종합사회복지관에서 도시락배달 자원봉사자를 모집합니다.- 활동일시 : 2019년 1월 ~ 12월 말까지 평일 오전 10시~11시 (※ 월~금, 주 1회 이상) / 비정기 활동도 가능. / 자차사용 배달 가능- 활동내용 : 어르신 가정 방문 도시락배달(식사 · 밑반찬 · 죽) 및 빈도시락 수거, 어르신 안부확인- 신청방법 : 봉사활동 신청 후 복지관으로 연락주셔야 신청 완료됩니다. (051-365-2211 / 070-5222-8347)- 담당자 : 이영설 사회복지사※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
광양용강주야간보호센터,전남,광양시,공통,어르신정서지원(말벗)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
밑반찬배달(주1회_매주화요일_2곳),인천,남동구,공통,매주 화요일 3시~5시사이 수령가능하신시간에 복지관에서 반찬을 수령하여 (남동구)지역 시각장애인 2가정에 전달하는 활동입니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
밑반찬배달(주1회_매주화요일_2곳),인천,서구,공통,매주 화요일 3시~5시사이 수령가능하신시간에 복지관에서 반찬을 수령하여 (서구)지역 시각장애인 2가정에 전달하는 활동입니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
독거노인 밑반찬 배달,대구,달서구,공통,대구시 달서구 내에 거주 중인 독거노인을 매주 수요일에찾아뵙고 밑반찬을 전달하며 안부를 확인하는 봉사활동입니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[온누리병원] 네일아트 재능기부자,서울,성북구,공통,"안녕하세요. 온누리요양병원 사회복지사 최유나입니다.성북구 돌곶이역 4번출구에서 걸어서 5분정도 걸리는 위치에 있으며 200병상 정도의 남녀 어르신들이 계십니다.다양한 사회복지 재활프로그램(미술치료, 원예치료, 웃음치료 등)으로 어르신들의 윤택한 병상생활을 위해 함께하고 있습니다!현재 네일아트 프로그램을 진행하고 있으나, 중고등학생 봉사자들이 메니큐어를 칠해드리는 정도의 작업만 이뤄지고 있습니다.2019년 상반기에는 전문 재능 기부자를 구하여, 퀄리티 있는 네일아트 프로그램으로 어르신들의 손 위생 청결 관리 및 미용을 위해 함께하고 싶습니다. - 시기 : 2019년 2월 - 7월(6개월간) / 월 1회 둘째주 월요일 오전 혹은 오후 (협의 조정)                  임시로 정한 요일 및 시간 이기에 추후 협의하여 변경 가능합니다. - 장소 : 온누리요양병원 2층 프로그램실            돌곶이역 4번출구에서 도보로 5분정도 걸립니다! - 내용 : 네일아트 재능기부 - 자격 : 별도의 자격은 없으며, 네일아트 관심자 및 전공자 - 준비물 : (메니큐어 보유, 콘센트 사용 가능) ** 문의 : 온누리요양병원 사회복지사 최유나(010-9455-2700)             프로그램으로 인하여 부재중일 경우가 있어, 문자로 연락남겨주시면 바로 답변드리겠습니다!※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
장애인목용봉사보조,충남,천안시,공통,"장애인활동지원서비스센터로 주로 재가장애인목욕서비스 보조역할을 하게됩니다. 즉, 수건챙기기, 비누챙기기, 목욕물받기, 부축하기, 이동도움주기, 지켜보기 등등 입니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[광교종합사회복지관] 도시락 전달 자원봉사자 모집-지역2,경기,수원시,공통,수원시 영통구에 위치한 광교종합사회복지관에서 '무료급식사업 도시락 배달'에 참여하실 자원봉사자를 모집합니다.일반적인 도시락 배달 봉사와 달리 도시락을 배달을 통해 이웃을 만나며 의미있는 시간을 보내고자 하시는 봉사자를 모집하고자 합니다.편하신 평일 오전 시간대에 자원봉사를 하며 새로운 이웃도 만나고 같이 활동하시는 봉사자분들과 소통할 수 있는 즐거운 시간입니다.따뜻한 마음을 가진 누구나 참여 가능합니다.^^- 일시 : 월~금 11:00~12:00 (요일 선택 가능)- 도시락 배달지 : 수원시 영통구 광교 휴먼시아 32단지 아파트 내- 도보로 배달- 자원봉사 신청 후 담당자에게 전화 연락 부탁드립니다.(070-4754-9935)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[신목복지관] <긴급!!>도시락조리 및 배달 봉사자 모집합니다.,서울,양천구,공통,"서울 양천구 신정2동에 위치한 신목종합사회복지관입니다.신목복지관에서는 저소득 어르신을 위한 도시락 배달 및 조리 봉사자를 모집합니다.많은 신청 부탁드립니다.1. 활동내용 : 도시락 배달 및 조리 (둘 중 한가지 활동 선택 가능합니다)2. 봉사일시 : 평일 오전 (요일  협의 가능)3. 활동장소 : 신목종합사회복지관 인근 아파트4. 활동인원 : 총 7명5. 자격요건 : 봉사활동에 꾸준하게 참여 가능한 분   양천아파트, 우성아파트의 경우 자차 운전 가능하신 분   그 외 지역은 구르마나 바구니를 통해서 봉사 가능하신 분6. 문의 : 강효손 사회복지사 02-2223-8807(담당자 직통번호) or 02-2643-7222(대표번호)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[고양시/일산서구] 어르신생신잔치 진행에 도움을 주실 수 있는 봉사자를 모집합니다,경기,고양시,공통,안녕하세요! 우리 문촌9종합복지관에서는 매월 첫째주 금요일에 어르신 생신잔치를 진행하고 있습니다.생신을 축하받으시는 어르신들의 댁에 방문해 선물을 전달하고 이야기를 나눌 수 있는 봉사자를 모집하고자 하오니 많은 관심부탁드립니다.일시: 2019년 매월 첫째주 금요일 오후 1시 이후(시간은 변동 가능)장소: 고양시문촌9종합사회복지관 및 문촌마을 9단지활동내용: 어르신 댁을 방문하여 선물 전달 및 말벗담당자: 석영근 사회복지사(031-917-0202)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
미용봉사,인천,남동구,공통,남동구 위치한 봄날요양원입니다.어르신들을  위한  미용 봉사를 원합니다.요일과 시간은 봉사자 선택입니다.연락  주시면 감사하겠습니다.032-425-8001시설장 010-7190-2600※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
남성노인 목욕탕 동행 및 낙상 예방 봉사활동,광주,동구,남,대인동에 거주하고 계시는 치매 남성 노인입니다.재가 목욕차량 서비스를 이용하고 계시다가 서비스가 마음에 들지 않아서 목욕탕에 가기를 원하십니다.어르신을 모시고 목욕탕에 모셔다 드리면 넘어지지 않도록 붙잡아 드리고 간단히 샤워 할 수 있도록 도와드리면 됩니다.기분 변화가 있을 수 있으니 어르신을 잘 달래드릴 수 있는 능숙한 분이면 좋겠습니다. 상시로 이어지면 좋겠구요비용은 센터에서 해결합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
노인주간보호센터 미술수업하실 분 구합니다.,인천,서구,공통,"인천 서구 두드림주간보호센터에서는 어르신들 미술수업을 하실 강사분을 구합니다. 1. 모집대상 : 미술수업강사2. 기간 : 2019년 2월 1일 ~ 2019년 12월 31일3. 주기 : 주 1회 오전 11시~12시(1시간)4. 인원 : 2명5. 기타 : 남녀구분이 없으며 어르신을 좋아하시는 분6. 연락처 ; 032-563-3388,  010-8911-4897(사회복지사)            인천 서구 심곡로78 도시빌딩 2층, 4층, 5층 (국제성모병원앞)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
미술선생님/미술치료선생님,경기,파주시,공통,"초등생16명 중등생6명이 오는 아동센터 입니다.이 아동들에게 미술이라는 시간의 작업활동이 필요한 시기인데,  파주문산근처의 외진곳이라 선생님을 초빙하거나, 자원봉사자를 초빙하기가 어려운 곳이라, 이곳에 올리게 되었습니다.  다문화가족의 아이들과, 맞벌이가정 한부모가정의 아이들에게, 정서지원이 필요한 미술치료및 미술수업을 진행해 주실 선생님을 찾습니다. 주1회 2시간 정도 봉사해주실수 있으신 분의 연락을 기다립니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[시흥시노인종합복지관] 이미용봉사자 모집,경기,시흥시,공통,시흥시노인종합복지관 이미용 봉사자를 모집합니다◎ 활동시기 : 월~금 (일정협의가능)◎ 활동내용 : 저소득 어르신 가정에 방문하여 방문이미용(컷트) 봉사활동◎ 활동장소 : 능곡동 및 시흥 지역(지역은 조정 가능)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
거동불편 노인 차량 이용시 보조지원 봉사자,경북,구미시,공통,지역에 거주하는 독거노인 중 순천향대학병원에서 혈액투석을 받는 어르신이 있습니다.어르신이 투석 후 집까지 돌아가시는데 부축해줄 봉사자가 필요합니다.거동은 가능하나 어지럼증을 호소하여 옆에서 부축이 필요한 사항입니다.순천향대학교병원에서 어르신과 함께 장애인 차량을 이용해서 사곡동 어르신 자택까지 모셔다 드리는 것까지 봉사가 해당됩니다. 매주 금요일마다 투석을 다니셔서 매주 금요일마다 오후 2시부터 3시까지 (1시간) 봉사를 해주실 분을 모집합니다.  크게 어렵지 않으며 차량도 장애인 차량을 이용해서 가기 때문에 옆에서 부축만 해주시면 됩니다.더 자세한 사항은 유선으로 문의주세요.친절하게 안내해드리겠습니다.강동재가노인지원서비스센터 사회복지사 김도연 ☎ 473-4008※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
아동학습지도,서울,용산구,공통,겨울방학 아동학습지도  체험활동 보조진행  봉사자의 전공에 의한 교육 활동 가능※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
2019년 홈닥터 서비스 봉사단 모집,부산,해운대구,공통,"부산 반석종합사회복지관에서 2019년 홈닥터 서비스 봉사단을 모집합니다.홈닥터서비스란, 주거환경 관리가 취약한 가정내에 방문하여 위생 및 청결상태를 개선하고 건강한 주거생활을 위한 환경 조성을 제공합니다. 1. 봉사활동 내용 : 집안 정리 및 청소, 집안 청결 방법 안내, 자가위생물품지원(세제, 고무장갑, 걸레 등) 2. 모집기간 : 2018. 12.10(월)~2018.12.31.(월) 3. 모집인원 : 10명 모집 3. 봉사일시 : 월 1회 방문(자세한 일정은 추후공지하며 협의가능)4. 신청방법 : 전화 또는 VMS신청 5. 활동시 혜택 : 봉사시간 부여 6. 자원봉사 활동기간 : 2019년 1월~2019년 10월 7. 문의 : 서은애 사회복지사(051-542-0196) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
아동관리 및 학습지도,경북,경주시,공통,학습지도 대상  - 초등생 및 중.고등학생 학습지도 학습과목 - 초등생 (수학.영어)  중.고등학생(수학.영어.컴퓨터 자격증(워드.컴활)) 봉사시간 - 시간 협의 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[남양주보훈요양원]전문 ★미용자원봉사자★ 모집,경기,남양주시,공통,"안녕하세요 한국보훈복지의료공단 남양주보훈요양원입니다.입소어르신들에게 미용을 해주실 전문 자원봉사자를 모집합니다.가. 희망일시: 월 1~2회나. 시간 및 인원: 자원봉사자와 협의 후 진행다. 봉사장소: 남양주보훈요양원(경기도 남양주시 덕송2로 71)라. 봉사내용: 입소어르신에게 미용봉사마. 신청방법-전화접수만 가능(031-579-7012, 강민지사회복지사)-담당자 업무시간(08:30~17:30)어르신들께서 위생적이고 쾌적한 일상생활을 보내실 수 있도록 자원봉사자님들의 도움이 필요합니다,많은 지원 부탁드립니다. 감사합니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어르신 활동 보조 및 일반 사무보조,경기,성남시,공통,어르신 활동 보조 및 일반 사무업무 보조 해주실자원봉사자분 모집합니다.봉사활동 신청은 반드시 전화 신청 부탁드립니다.연락처 : 031-707-8790~1※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
아동학습보조 봉사자 ,제주,서귀포시,공통,아동들의 국어 수학 학습을 보조해 주시고 함께 놀아주실 수 있는 분들 부탁드립니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[글로리병원] 입원환우대상 이미용봉사자모집,인천,부평구,공통," 글로리병원에서 이미용봉사자를 급히 모십니다.* 봉사일자 : 매주 수요일 정기봉사* 봉사시간 : 10:00 ~ 11:30 * VMS 시간 입력, 점심식사제공  - 신청은 전화 또는 vms로 해주시기 바랍니다.  ☎032-518-9001※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어르신 미용 보조.,경기,김포시,공통,"저희 주간보호센터 선생님들이 어르신 목욕을 끝낸 후,1. 마스크팩 붙이기2. 손톱깎이3. 머리 말려주기세 가지 해주실 봉사자 모십니다.^^매주 수요일 오후 두시부터 네시까지 정기적으로 해주실 수 있는 분!!!!!많은 지원 바랍니다.감사합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
정을 나누는 반찬지원,경기,안산시,공통,"저희 상록재가노인지원서비스센터에서는 독거 어르신들을 위한 밑반찬 지원사업을 운영하고 있습니다. 어르신들을 공경하는 마음가짐과 성실성만 있다면 누구나 환영합니다.봉사자 여러분들의 따뜻한 손길을 기다리겠습니다 ♡~1. 봉사기간 : 매주 수 10:30 ~ 12:30(2시간)2. 봉사내용 : 밑반찬 배달3. 모집인원 : 0명(상시 모집) *자차이용 가능자4. 신청방법 : 이메일 지원(lsh2127@nate.net) - 이름, 연락처, 기간, 시작가능일5. 봉사혜택 : VMS 인증6. 기관위치 : 안산시시외버스정류장옆 롯데마트 건너편 성어공원 내 건물7. 문의사항 : 이성희 사회복지사(031-414-2271~2)  ※ 친구분과 함께 봉사 가능, 단체 봉사활동 환영합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
도시락배달,강원,동해시,공통,"도시락배달 봉사자를 모집합니다- 차량봉사자(수요일, 목요일)가능- 배달봉사자(요일상관없음)09:30~11:40분까지(상황에따라 일찍마치거나 조금 늦어질수 있음)** 봉사자분들께는 무료식사가 제공됩니다**매일오셔도 되고 주1회 요일지정하셔도 됩니다.본 기관에서는 주5회로 대상자 100분어르신들께 식사를 배달해 드리고 있습니다※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
단원구노인복지관 어르신 식사(도시락)  배달 자원활동가 모집,경기,안산시,공통,안산시 단원구 선부동에 위치한 단원구노인복지관입니다. 단원구노인복지관에서는 재가복지사업으로 어르신 가정에 도시락 배달을 진행하고 있습니다. 도시락 배달을 도와주실 자원봉사자를 모집하고 있으니 많은 관심과 참여바랍니다. *일시 : 매주 목요일 10:30~12:30 *장소 : 안산시 단원구 내 어르신가정 20곳 *모집인원 : 2명 *자격요건 : 20세 이상 운전면허 소지자 및 자차 이용 가능한자 * 문의 : 지역사회조직팀 황미영 사회복지사(031-489-5022)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
요양원 이미용봉사 선생님 모십니다,경기,시흥시,공통,요양원에서 미용봉사해주실 봉사자 선생님을 애타게 기다리고 있습니다.어르신은 49분 계시고봉사 주기는 담당자와 상담후 정하시면 됩니다.연락많이 주세요~^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[길음종합사회복지관] 학습멘토링 멘토 자원봉사자 모집!,서울,성북구,여,"길음종합사회복지관과 함께하는 학습멘토링 멘토 자원봉사자 모집!길음복지관에서는 저소득 가정의 청소년들이 학습 및 정서적인 도움을 받을 수 있도록 학습멘토링 자원봉사자를 모집하고 있습니다.자세한 사항은 아래의 내용을 참고하여 주시고, 많은 분들의 관심과 따뜻한 참여 부탁드립니다^^-모집부문 : 아동청소년의 멘토가 되어줄 수 있는 대학생 멘토 모집-기간 : 2018년 11월부터 1년 이상-활동내용: 1:1 개별 멘토링 활동(멘티의 관심 분야 멘토링 - 영어, 수학 등)-모집안내 1) vms 자원봉사자 모집 글의 신청 2) 길음종합사회복지관 홈페이지 자원봉사 신청(www.guswc.org 접속 -> 나눔과참여 -> 봉사자모집 -> 학습멘토링 자원봉사자 모집 신청 3) 02-985-0161 마을동행팀 신청-모집대상 1) 1년 이상 지속적으로 성실하게 활동 가능한 여자 대학생 2) 아동 청소년에게 관심이 많고 친절하게 멘토 활동이 가능한 여자 대학생-활동혜택 1) VMS 봉사시간 등록 2) 교재비 지원 3) 멘토 모임을 통한 다양한 인적 네트워크 형성-문의: 02-985-0161 마을동행팀※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
자원봉사,대전,서구,공통,"1. 봉사내용  :  어르신 식사, 목욕 등 케어, 프로그램 지원2. 봉사시간  :  월~금 :오전09:00~오후18:00 토 : 오전09:00~16:00(시간내 조절가능)3. 모집기간  :  수시 (정기, 비정기) 가능4. 주      소  :  대전 서구 월평로68, 5층 (귀남빌딜or영동빌딩)5. 연  락  처 :  담당자 010-3255-61411) VMS 가입후 문의사항은 전화주세요2) 정기적으로 봉사활동 가능하시면 좋겠습니다.6. 봉사자 유형 : 학생은 고등학생이상 봉사가능합니다.                     초, 중학생은 보호자 또는 인솔자가 함께해야 봉사가능합니다※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[성민종합사회복지관] 밑반찬배달 자원봉사자를 모집합니다.,서울,관악구,공통,"안녕하세요 관악구 삼성동에 위치한 성민종합사회복지관입니다.성민종합사회복지관에서는 지역 내 따뜻한 식사가 필요한 저소득 어르신들에게 밑반찬을 제공하고 있습니다.이에 어르신 급식봉사에 관심있는 성실하고 책임감있는 성인 자원봉사자를 모집합니다.1. 모집대상: 20세 이상 성인 누구나2. 모집인원: 밑반찬배달 2명3. 시간: 주 1회(화요일 또는 금요일), 12:40~15:40(3시간), 13:20~15:20(2시간), 요일 및 시간 조정가능4. 장소: 복지관 및 어르신가정5. 내용: 밑반찬 포장, 밑반찬 배달, 밑반찬 용기 세척 등6. 비고: 밑반찬 배달사업은 연중 상시 운영되므로 1개월 이상 장기 자원봉사자를 모집합니다. 7. 문의: 이송미 사회복지사 (02-876-0900)함께해주셔서 감사합니다^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
한글교육가정자원봉사자 모집!,부산,사하구,여,"저희 평화재가노인지원서비스센터에서는 한글을 깨우치지 못한 어르신댁으로 찾아가서 한글교육 및 말벗을 하실 가정자원봉사자를 찾고 있습니다.아래를 참고하시어 봉사활동에 참여함으로 사랑과 나눔을 실천하시길 바랍니다.일시:주1회1시간씩(시간조정가능)지역:괴정1명,대티1명,신평1명*혜택:자원봉사활동시간 부여 및 한글교재에 대한 구입 및 기부금 영수증 발급가능 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
울림합창단 단원 모집(세대통합),인천,서구,공통,"인천기독교종합사회복지관에서 세대통합과 관계증진을 위한 울림합창단 단원을 모집합니다~~~*활동 일정 - 2018년 11월 ~2019년 4월 (매주 수요일) / 오후 3시부터 오후 5시까지 *활동 내용 - 세대통합과 관계증진을 위한 울림합창단 단원으로 전문합창지휘자의 지휘에 맞춰 합창연습 후복지관 70주년 기념 행사 시 합창공연 진행 예정입니다!!(활동시간에 따른 봉사시간 실적 부여합니다!!!) *활동 조건 - 전문합창단이 아닌 울림과 감동을 주는 세대통합합창단으로, 노래를 잘 하지 못해도 전혀 상관이 없으며!!!   음악과 노래, 합창을 좋아하는 마음만 있다면 누구든 환영합니다^^*""너와 나, 우리""의 마음에""울림""을 주는 울림합창단에서 친구도 만들고 합창도 하며 즐거운 경험을 쌓아보세요~~^^  많은 관심과 신청 부탁드립니다~~김주은사회복지사(070-8915-3296)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
***정기 자봉 모집***만덕종합사회복지관***밑반찬배달 자봉모집,부산,북구,공통,"내용 : 밑반찬배달일시 : 매주 화, 금(택1 가능, 택2 가능) 13:30~15:30(2시간)장소 : 만덕동 일대담당자 : 신대철 사회복지사 051-332-8004* 정기적으로 꾸준히 가능 하신분 모집합니다!!!최소 3개월 이상 가능하신분 신청 부탁드립니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
이미용봉사,대구,남구,여,여성노숙인을 대상으로 미용 봉사를 해 주실 분을 모집 합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
